District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
HILLSBOROUGH,6630,PEPIN TRANSITIONAL SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,6634,BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,6634,BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL,12,12,11,18,9,8,9,1,,,,,,1,3,40,32,72
HILLSBOROUGH,6646,SEMINOLE HEIGHTS CHARTER HIGH SCHOOL,11,2,,1,2,2,2,,,,,,,1,,6,4,10
HILLSBOROUGH,6646,SEMINOLE HEIGHTS CHARTER HIGH SCHOOL,12,3,4,7,6,9,9,,,,,,,,1,19,20,39
HILLSBOROUGH,6656,PIVOT CHARTER SCHOOL,12,14,12,3,,3,2,,,,,,,3,2,23,16,39
HILLSBOROUGH,6659,WEST UNIVERSITY CHARTER HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,6659,WEST UNIVERSITY CHARTER HIGH,12,4,5,15,17,18,4,1,,1,,,,,1,39,27,66
HILLSBOROUGH,7006,HILLSBOROUGH VIRTUAL INSTRUCTION COURSE OFFERINGS,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,7023,HILLSBOROUGH VIRTUAL SCHOOL,12,25,15,2,,9,2,,,,,,,1,,37,17,54
HILLSBOROUGH,7677,TOWN & COUNTRY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
HILLSBOROUGH,7677,TOWN & COUNTRY HIGH SCHOOL,12,,5,,,2,6,,,,,,,,,2,11,13
HOLMES,31,POPLAR SPRINGS HIGH SCHOOL,12,16,7,1,,,,,,,,,,,,17,7,24
HOLMES,41,BETHLEHEM HIGH SCHOOL,12,10,18,,,,,,,,,,,,,10,18,28
HOLMES,61,PONCE DE LEON HIGH SCHOOL,12,15,16,,,1,,,,,,,,2,,18,16,34
HOLMES,261,HOLMES COUNTY HIGH SCHOOL,12,42,35,,1,4,4,2,1,,,,,,,48,41,89
INDIAN RIVER,31,VERO BEACH HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
INDIAN RIVER,31,VERO BEACH HIGH SCHOOL,12,203,185,54,49,37,44,8,7,,,,,6,8,308,293,601
INDIAN RIVER,131,WABASSO SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
INDIAN RIVER,291,SEBASTIAN RIVER HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
INDIAN RIVER,291,SEBASTIAN RIVER HIGH SCHOOL,12,108,112,15,10,38,36,2,1,,,1,1,3,6,167,166,333
INDIAN RIVER,5001,INDIAN RIVER CHARTER HIGH SCHOOL,12,60,55,3,1,10,8,2,,,,,,6,,81,64,145
JACKSON,21,MARIANNA HIGH SCHOOL,12,51,46,22,23,2,1,,,,,,,4,2,79,72,151
JACKSON,121,MALONE HIGH SCHOOL,12,1,10,5,5,,,,,,,,,1,,7,15,22
JACKSON,141,SNEADS HIGH SCHOOL,12,30,23,5,2,1,,,,,,,1,,2,36,28,64
JACKSON,212,JACKSON ALTERNATIVE SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
JACKSON,251,COTTONDALE HIGH SCHOOL,12,16,11,6,5,1,,,,,,,,3,1,26,17,43
JACKSON,491,GRACEVILLE HIGH SCHOOL,12,6,12,6,10,1,,,,,,,,1,,14,22,36
JACKSON,7001,JACKSON VIRTUAL INSTRUCTION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
JEFFERSON,21,JEFFERSON COUNTY MIDDLE/HIGH SCHOOL,12,2,3,10,12,3,3,,,,,,,,,15,18,33
LAFAYETTE,21,LAFAYETTE HIGH SCHOOL,12,18,30,5,2,5,4,,,,,,,2,2,30,38,68
LAKE,81,EUSTIS HIGH SCHOOL,12,63,80,26,20,22,15,5,1,,,1,1,4,3,121,120,241
LAKE,161,LEESBURG HIGH SCHOOL,12,106,89,46,44,19,8,3,4,,,1,1,2,3,177,149,326
LAKE,181,MT. DORA HIGH SCHOOL,12,76,67,10,13,15,10,2,1,,,1,,7,3,111,94,205
LAKE,211,TAVARES HIGH SCHOOL,12,77,85,12,16,17,15,7,1,,,,,6,2,119,119,238
LAKE,231,UMATILLA HIGH SCHOOL,12,70,60,4,2,14,9,,,,,,,1,,89,71,160
LAKE,701,SOUTH LAKE HIGH SCHOOL,12,89,87,15,17,35,46,4,5,,,,2,4,2,147,159,306
LAKE,801,EAST RIDGE HIGH SCHOOL,12,102,101,29,20,57,64,16,8,,1,2,1,11,7,217,202,419
LAKE,901,LAKE MINNEOLA HIGH SCHOOL,12,118,111,34,43,47,46,16,9,,,2,2,11,6,228,217,445
LAKE,7004,LAKE VIRTUAL FRANCHISE,12,8,2,1,1,2,,,,,,,,,,11,3,14
LAKE,9018,ALEE ACADEMY CHARTER SCHOOL,12,5,9,2,5,2,2,,,,,,,1,,10,16,26
LEE,221,FORT MYERS HIGH SCHOOL,12,166,145,32,21,34,29,7,14,,,,,9,7,248,216,464
LEE,241,LEHIGH SENIOR HIGH SCHOOL,12,41,23,61,35,90,71,1,5,1,,1,1,6,2,201,137,338
LEE,311,NORTH FORT MYERS HIGH SCHOOL,12,166,117,6,2,31,33,6,1,,,1,,4,3,214,156,370
LEE,491,ISLAND COAST HIGH SCHOOL,12,69,63,21,19,60,45,1,2,,,1,1,1,1,153,131,284
LEE,511,SOUTH FORT MYERS HIGH SCHOOL,12,82,72,41,35,67,47,5,6,,,1,,8,1,204,161,365
LEE,531,CYPRESS LAKE HIGH SCHOOL,12,105,70,23,24,25,25,2,1,,,,,6,2,161,122,283
LEE,591,RIVERDALE HIGH SCHOOL,12,158,130,6,20,60,54,2,1,,,,,1,4,227,209,436
LEE,621,CAPE CORAL HIGH SCHOOL,12,81,78,18,11,45,46,7,6,,,,1,4,7,155,149,304
LEE,721,MARINER HIGH SCHOOL,12,80,110,4,10,49,34,1,2,1,,,,2,2,137,158,295
LEE,731,ESTERO HIGH SCHOOL,12,100,103,8,3,52,59,7,1,,,,,3,3,170,169,339
LEE,745,EAST LEE COUNTY HIGH SCHOOL,12,19,23,38,41,74,61,,2,,1,,1,2,2,133,131,264
LEE,831,DUNBAR HIGH SCHOOL,12,10,29,43,43,22,30,1,2,,,,,,1,76,105,181
LEE,861,IDA S. BAKER HIGH SCHOOL,12,128,116,5,5,64,58,1,6,,1,,,5,4,203,190,393
LEE,4121,GATEWAY CHARTER HIGH SCHOOL,12,34,28,10,10,24,18,2,5,,,1,,1,,72,61,133
LEE,4155,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,12,32,19,11,3,17,7,3,,1,,,,1,1,65,30,95
LEE,4181,OASIS CHARTER HIGH SCHOOL,12,58,63,,,20,14,3,,,,,,2,4,83,81,164
LEE,4211,PIVOT CHARTER SCHOOL,12,7,8,1,1,5,8,,1,,,,,,1,13,19,32
LEE,4212,CITY OF PALMS CHARTER HIGH SCHOOL,12,,5,2,1,3,1,1,,,,,,,,6,7,13
LEE,4223,PALM ACRES CHARTER HIGH SCHOOL,12,4,1,2,2,6,3,,,,,,,,,12,6,18
LEE,4242,NORTH NICHOLAS HIGH SCHOOL,12,22,20,3,4,13,17,,,,,,,1,1,39,42,81
LEE,4251,CORONADO HIGH SCHOOL,12,8,4,4,1,6,6,,,,,,,,,18,11,29
LEE,4274,ISLAND PARK HIGH SCHOOL,12,9,9,,1,4,1,,,,,,,,,13,11,24
LEE,4302,DJB TECHNICAL ACADEMY,12,2,6,1,1,1,4,,,,,,,,,4,11,15
LEE,7004,LEE COUNTY VIRTUAL FRANCHISE,12,15,8,1,1,4,1,,,,,,,,,20,10,30
LEON,21,LEON HIGH SCHOOL,12,123,124,65,44,10,9,2,7,,2,,1,6,9,206,196,402
LEON,51,JAMES RICKARDS HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LEON,51,JAMES RICKARDS HIGH SCHOOL,12,9,15,92,66,4,3,12,7,,,,,2,5,119,96,215
LEON,161,AMOS P. GODBY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LEON,161,AMOS P. GODBY HIGH SCHOOL,12,19,19,55,68,9,7,,,,,1,,1,,85,94,179
LEON,204,SAIL,12,38,30,6,7,1,2,,,,,,,1,1,46,40,86
LEON,452,PACE SECONDARY SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LEON,452,PACE SECONDARY SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LEON,1091,LINCOLN HIGH SCHOOL,12,115,134,54,60,14,7,11,6,,1,,1,3,8,197,217,414
LEON,1141,LAWTON CHILES HIGH SCHOOL,12,190,171,17,18,10,11,11,12,,,1,1,5,7,234,220,454
LEON,1211,SUCCESS ACADEMY AT GHAZVINI LEARNING CENTER,12,2,,9,5,,,,,,,,,,,11,5,16
LEON,7004,LEON COUNTY VIRTUAL SCHOOL FRANCHISE,12,6,3,,2,,,,,,,,,,,6,5,11
LEVY,21,BRONSON MIDDLE/HIGH SCHOOL,12,18,26,5,,2,4,,,,,,,,1,25,31,56
LEVY,23,LEVY LEARNING ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LEVY,41,CEDAR KEY HIGH SCHOOL,12,4,6,,,,,,,,,,,1,2,5,8,13
LEVY,51,CHIEFLAND MIDDLE HIGH SCHOOL,12,45,33,1,6,4,1,1,,,,,,2,,53,40,93
LEVY,91,WILLISTON HIGH SCHOOL,12,37,36,8,6,5,8,2,1,,,,,1,,53,51,104
LEVY,7004,LEVY VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LIBERTY,21,LIBERTY COUNTY HIGH SCHOOL,12,31,30,4,6,1,2,,,,,,,1,,37,38,75
LIBERTY,51,LIBERTY WILDERNESS CROSSROADS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
LIBERTY,71,LIBERTY LEARNING CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MADISON,11,MADISON COUNTY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MADISON,11,MADISON COUNTY HIGH SCHOOL,12,27,22,23,31,5,2,,,,,,,,1,55,56,111
MANATEE,72,BAYSHORE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,72,BAYSHORE HIGH SCHOOL,12,60,50,20,9,33,34,3,1,,,1,,3,4,120,98,218
MANATEE,181,MANATEE HIGH SCHOOL,12,127,148,30,35,39,35,5,2,1,,,,1,3,203,223,426
MANATEE,212,CENTRAL HIGH SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,351,PALMETTO HIGH SCHOOL,12,99,89,27,19,42,45,,3,,,,,1,1,169,157,326
MANATEE,431,SOUTHEAST HIGH SCHOOL,12,44,46,21,18,27,49,5,6,,,,,,2,97,121,218
MANATEE,721,LAKEWOOD RANCH HIGH SCHOOL,12,191,155,13,11,24,15,2,7,,,,,4,5,234,193,427
MANATEE,731,HORIZONS ACADEMY,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,731,HORIZONS ACADEMY,12,17,17,5,5,4,8,,1,,,,,1,2,27,33,60
MANATEE,762,BRADEN RIVER HIGH SCHOOL,12,150,134,13,14,25,26,17,9,,,1,,11,4,217,187,404
MANATEE,2004,PACE CENTER FOR GIRLS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,2056,PALMSHORES BEHAVIOR HEALTH CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,2063,PALMETTO YOUTH ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,2104,MANATEE SCHOOL FOR THE ARTS,12,57,38,10,7,23,15,,3,,,,1,1,3,91,67,158
MANATEE,2141,STATE COLLEGE OF FLORIDA COLLEGIATE SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MANATEE,2141,STATE COLLEGE OF FLORIDA COLLEGIATE SCHOOL,12,24,13,1,1,2,4,1,2,,,,,2,,30,20,50
MANATEE,7004,MANATEE VIRTUAL FRANCHISE (ETECH SCHOOL OF MANATEE),12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,331,NORTH MARION HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,331,NORTH MARION HIGH SCHOOL,12,81,75,37,31,15,16,1,,,,1,1,5,7,140,130,270
MARION,351,FOREST HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,351,FOREST HIGH SCHOOL,12,127,155,25,20,25,30,8,2,,1,3,2,6,12,194,222,416
MARION,461,VANGUARD HIGH SCHOOL,12,101,97,50,32,14,27,9,8,,,1,1,8,16,183,181,364
MARION,501,LAKE WEIR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,501,LAKE WEIR HIGH SCHOOL,12,94,111,36,33,21,38,,1,,,,1,8,11,159,195,354
MARION,521,DUNNELLON HIGH SCHOOL,12,59,55,16,13,26,23,1,1,2,,1,,3,6,108,98,206
MARION,661,BELLEVIEW HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,661,BELLEVIEW HIGH SCHOOL,12,100,92,16,13,25,33,4,3,,,1,2,7,5,153,148,301
MARION,701,WEST PORT HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,701,WEST PORT HIGH SCHOOL,12,134,113,60,53,72,69,8,7,,,2,2,11,20,287,264,551
MARION,7004,MARION VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARION,9690,FRANCIS MARION MILITARY ACADEMY,12,1,6,3,,2,2,,,,,,,,,6,8,14
MARION,9721,MARION YOUTH ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARTIN,31,MARTIN COUNTY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARTIN,31,MARTIN COUNTY HIGH SCHOOL,12,162,149,10,12,52,47,9,,,,1,1,9,4,243,213,456
MARTIN,71,ESE HOMEBOUND,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARTIN,73,SPECTRUM JUNIOR/SENIOR HIGH SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARTIN,241,SOUTH FORK HIGH SCHOOL,12,123,134,11,15,37,47,2,4,,,1,2,7,2,181,204,385
MARTIN,294,CHALLENGER SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MARTIN,351,JENSEN BEACH HIGH SCHOOL,12,163,165,10,12,22,26,1,2,,,,,3,8,199,213,412
MARTIN,400,CLARK ADVANCED LEARNING CENTER,12,40,30,3,4,4,7,1,,,,,,,2,48,43,91
MONROE,41,CORAL SHORES HIGH SCHOOL,12,36,63,1,1,24,30,1,1,,,,1,,1,62,97,159
MONROE,101,KEY WEST HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MONROE,101,KEY WEST HIGH SCHOOL,12,65,72,16,14,29,29,1,4,,,1,2,3,6,115,127,242
MONROE,106,KEYS CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
MONROE,131,MARATHON SCHOOL,12,13,16,2,,18,11,,2,,,,,,,33,29,62
MONROE,382,KEY WEST COLLEGIATE SCHOOL,12,4,7,,,,,,,,,,,,1,4,8,12
MONROE,7004,MONROE VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NASSAU,151,HILLIARD MIDDLE-SENIOR HIGH,12,41,59,1,2,,,,,,,1,,1,,44,61,105
NASSAU,191,WEST NASSAU COUNTY HIGH SCHOOL,12,106,91,3,,6,3,,,,,,,4,5,119,99,218
NASSAU,231,YULEE HIGH SCHOOL,12,102,93,12,12,12,7,2,,,,,1,4,3,132,116,248
NASSAU,291,FERNANDINA BEACH HIGH SCHOOL,12,73,76,7,4,9,7,,2,,1,,,5,1,94,91,185
OKALOOSA,41,BAKER SCHOOL,12,52,38,,1,3,1,1,1,,,,,1,3,57,44,101
OKALOOSA,201,LAUREL HILL SCHOOL,12,14,13,1,1,,,,,,,1,,,,16,14,30
OKALOOSA,211,NICEVILLE SENIOR HIGH SCHOOL,12,172,184,10,12,16,10,10,3,1,2,,,10,11,219,222,441
OKALOOSA,581,CHOCTAWHATCHEE SENIOR HIGH SCHOOL,12,127,117,19,25,16,18,10,11,,1,,,7,7,179,179,358
OKALOOSA,601,CRESTVIEW HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OKALOOSA,641,FORT WALTON BEACH HIGH SCHOOL,12,128,113,28,22,13,9,16,8,,1,2,,15,9,202,162,364
OKALOOSA,701,CHOICE HIGH SCHOOL AND TECHNICAL CENTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OKALOOSA,7023,OKALOOSA ONLINE NON FRANCHISED,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OKALOOSA,9800,OKALOOSA ACADEMY,12,8,4,6,2,1,1,1,2,,,,,2,1,18,10,28
OKALOOSA,9805,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE,12,43,32,3,,6,5,3,1,,,,,4,3,59,41,100
OKALOOSA,9812,OKALOOSA YOUTH ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OKALOOSA,9815,AMI KIDS EMERALD COAST,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OKEECHOBEE,101,OKEECHOBEE HIGH SCHOOL,12,96,80,7,8,59,63,2,1,,,4,1,3,3,171,156,327
OKEECHOBEE,9101,TANTIE JUVENILE RESIDENTIAL FACILITY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,40,PROSPERITAS LEADERSHIP ACADEMY CHARTER,12,,2,3,8,2,,,,,,,1,1,,6,11,17
ORANGE,41,SIMON YOUTH FOUND ACAD AT OUTLET MKTPLCE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,42,BETA,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,74,WORKFORCE ADVANTAGE ACADEMY CHARTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,74,WORKFORCE ADVANTAGE ACADEMY CHARTER,12,3,5,10,10,5,3,1,,,,,,,,19,18,37
ORANGE,84,SHEELER HIGH CHARTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,84,SHEELER HIGH CHARTER,12,5,5,10,7,8,6,,,,,,,,,23,18,41
ORANGE,85,CHANCERY HIGH CHARTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,85,CHANCERY HIGH CHARTER,12,2,7,8,11,7,8,,,,,,,1,1,18,27,45
ORANGE,89,ORLANDO SCIENCE MIDDLE HIGH CHARTER,12,4,,5,4,2,,5,1,,,2,,,,18,5,23
ORANGE,111,WILLIAM R BOONE HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,111,WILLIAM R BOONE HIGH,12,193,168,31,22,84,55,6,4,,,3,1,4,4,321,254,575
ORANGE,119,LEGACY HIGH CHARTER,12,9,16,2,1,3,1,,,,,,,,1,14,19,33
ORANGE,120,ALOMA HIGH CHARTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,120,ALOMA HIGH CHARTER,12,8,16,4,4,19,24,,,,,,,1,1,32,45,77
ORANGE,121,EDGEWATER HIGH,12,55,87,59,62,18,20,14,10,,,,1,6,6,152,186,338
ORANGE,122,TRANSITION CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,146,CORNERSTONE CHARTER ACADEMY HIGH SCHOOL,12,13,25,1,1,9,6,2,1,,,,,,1,25,34,59
ORANGE,202,SUNSHINE HIGH CHARTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,202,SUNSHINE HIGH CHARTER,12,4,8,8,11,8,7,1,3,1,,,,,2,22,31,53
ORANGE,252,OCOEE HIGH,12,67,67,86,56,35,41,20,13,1,1,4,3,3,5,216,186,402
ORANGE,661,COLONIAL HIGH,12,36,59,35,32,184,199,8,13,,,1,1,11,7,275,311,586
ORANGE,671,MAYNARD EVANS HIGH,12,5,1,174,145,21,13,3,4,,,2,,3,2,208,165,373
ORANGE,691,OAK RIDGE HIGH,12,12,20,107,91,67,64,5,4,,,1,,2,5,194,184,378
ORANGE,931,DR. PHILLIPS HIGH,12,158,140,112,99,91,81,34,33,,,,,8,7,403,360,763
ORANGE,1001,UNIVERSITY HIGH,12,90,71,32,27,140,142,28,21,1,,1,2,6,4,298,267,565
ORANGE,1311,JUVENILE DETENTION,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,1411,WINTER PARK HIGH,12,186,179,42,48,65,80,27,17,1,,1,,12,8,334,332,666
ORANGE,1511,WEST ORANGE HIGH,12,193,183,66,65,86,93,19,25,1,3,1,4,14,8,380,381,761
ORANGE,1521,APOPKA HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,1521,APOPKA HIGH,12,125,114,109,90,76,61,5,9,1,,1,3,8,6,325,283,608
ORANGE,1542,WEKIVA HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,1542,WEKIVA HIGH,12,57,54,91,70,52,46,4,5,,,,,9,6,213,181,394
ORANGE,1631,TIMBER CREEK HIGH,12,148,149,38,30,125,134,20,27,3,,1,3,20,13,355,356,711
ORANGE,1632,OLYMPIA HIGH,12,136,128,75,59,57,55,24,36,,2,2,1,10,12,304,293,597
ORANGE,1651,CYPRESS CREEK HIGH,12,38,40,41,42,152,156,31,42,1,,3,2,9,8,275,290,565
ORANGE,1662,FREEDOM HIGH,12,78,98,45,37,172,155,26,31,,,1,1,8,4,330,326,656
ORANGE,1801,EAST RIVER HIGH,12,82,72,11,23,80,83,8,8,,1,1,,3,6,185,193,378
ORANGE,1811,ACCELERATION ACADEMY,12,5,3,4,2,20,15,,1,,,,,,,29,21,50
ORANGE,1841,ACCELERATION ACADEMY WEST,12,1,2,13,10,8,5,,,,,,,,,22,17,39
ORANGE,1951,LAKE NONA HIGH,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,1951,LAKE NONA HIGH,12,84,79,23,40,122,116,12,9,1,1,1,1,7,1,250,247,497
ORANGE,5711,JONES HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ORANGE,5711,JONES HIGH,12,2,1,73,60,7,4,,,,,,,1,,83,65,148
ORANGE,7004,ORANGE COUNTY VIRTUAL FRANCHISE,12,9,4,5,,2,5,1,,,,,,1,,18,9,27
OSCEOLA,81,OSCEOLA HIGH SCHOOL,12,40,49,34,35,146,144,6,7,,,,,1,5,227,240,467
OSCEOLA,151,ACCLAIM ACADEMY OF FLORIDA INC,12,,2,1,2,5,5,,,,,,,1,,7,9,16
OSCEOLA,201,ST. CLOUD HIGH SCHOOL,12,102,104,22,15,98,97,4,10,,2,1,1,3,1,230,230,460
OSCEOLA,601,GATEWAY HIGH SCHOOL,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,601,GATEWAY HIGH SCHOOL,12,21,27,38,27,167,165,13,3,,1,2,3,2,3,243,229,472
OSCEOLA,841,POINCIANA HIGH SCHOOL,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,841,POINCIANA HIGH SCHOOL,12,14,22,32,33,100,103,4,5,,,1,1,1,2,152,166,318
OSCEOLA,842,LIBERTY HIGH SCHOOL,12,21,15,42,40,119,88,6,7,,,1,,1,1,190,151,341
OSCEOLA,853,NEW DIMENSIONS HIGH SCHOOL,12,7,3,7,11,26,30,2,2,,,1,1,,,43,47,90
OSCEOLA,859,OSCEOLA REGIONAL JUVENILE COMMITMENT FACILITY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,862,PROFESSIONAL & TECHNICAL HIGH SCHOOL,12,7,7,10,1,53,59,3,4,,1,2,2,,1,75,75,150
OSCEOLA,902,CELEBRATION HIGH SCHOOL,12,73,65,18,11,99,86,7,8,,,,,1,7,198,177,375
OSCEOLA,921,OSCEOLA COUNTY SCHOOL FOR THE ARTS,12,28,14,9,2,47,26,5,1,,,1,,3,2,93,45,138
OSCEOLA,922,HARMONY HIGH SCHOOL,12,142,123,13,7,54,47,4,1,,,1,2,10,4,224,184,408
OSCEOLA,959,MAVERICKS HIGH SCHOOL,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,959,MAVERICKS HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,959,MAVERICKS HIGH SCHOOL,12,21,6,7,6,26,66,1,3,,,1,1,,,56,82,138
OSCEOLA,7001,OSCEOLA VIRTUAL INSTRUCTION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,7004,OSCEOLA VIRTUAL FRANCHISE (SECONDARY),11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OSCEOLA,7004,OSCEOLA VIRTUAL FRANCHISE (SECONDARY),12,6,2,1,,10,14,1,2,,,,,1,1,19,19,38
OSCEOLA,9003,ZENITH,12,6,9,5,10,44,45,,1,,,,1,,1,55,67,122
OSCEOLA,9036,NEW BEGINNINGS EDUCATION CENTER,12,,2,,4,2,6,,,,,,,,,2,12,14
PALM BEACH,81,JUPITER HIGH SCHOOL,12,261,243,14,10,56,54,10,9,1,,5,2,11,9,358,327,685
PALM BEACH,151,SUNCOAST COMMUNITY HIGH SCHOOL,12,53,84,34,33,38,47,26,36,,,1,,4,1,156,201,357
PALM BEACH,395,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,12,121,60,27,6,58,30,8,5,,,,1,8,5,222,107,329
PALM BEACH,581,FOREST HILL COMMUNITY HIGH SCHOOL,12,35,44,33,44,112,133,3,2,,,2,1,2,7,187,231,418
PALM BEACH,691,LAKE WORTH HIGH SCHOOL,12,28,38,95,90,79,71,3,3,,,1,2,8,4,214,208,422
PALM BEACH,842,TURNING POINTS ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,862,ATLANTIC HIGH SCHOOL,12,64,72,129,97,25,28,24,18,,,,,6,9,248,224,472
PALM BEACH,961,BOCA RATON COMMUNITY HIGH SCHOOL,12,197,247,43,25,77,84,15,9,,1,1,1,4,3,337,370,707
