District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
BROWARD,1751,MIRAMAR HIGH SCHOOL,12,7,11,219,193,21,34,11,12,,1,,,2,1,260,252,512
BROWARD,1752,WHISPERING PINES SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,1901,PIPER HIGH SCHOOL,12,43,47,126,157,48,33,3,8,,,1,,8,2,229,247,476
BROWARD,1931,COOPER CITY HIGH SCHOOL,12,133,135,16,16,82,65,12,14,,,2,1,6,6,251,237,488
BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,12,11,19,26,15,25,27,3,5,1,,,,1,1,67,67,134
BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,12,66,59,77,89,71,56,6,4,,1,3,,3,6,226,215,441
BROWARD,2751,J. P. TARAVELLA HIGH SCHOOL,12,104,138,89,70,87,85,10,15,1,,1,,9,2,301,310,611
BROWARD,2831,WESTERN HIGH SCHOOL,12,184,176,19,26,123,106,15,16,,,1,,5,1,347,325,672
BROWARD,3011,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,12,201,202,31,25,51,58,22,28,,,1,1,15,4,321,318,639
BROWARD,3222,CROSS CREEK SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,3391,CHARLES W FLANAGAN HIGH SCHOOL,12,63,63,109,116,143,141,12,28,,,1,1,12,13,340,362,702
BROWARD,3541,MONARCH HIGH SCHOOL,12,88,119,39,44,79,70,12,14,,,,,3,6,221,253,474
BROWARD,3623,CYPRESS BAY HIGH SCHOOL,12,185,177,13,18,289,272,26,21,,,2,1,12,8,527,497,1024
BROWARD,3651,DAVE THOMAS EDUCATION CENTER,12,1,3,24,33,10,12,2,,,,,,,1,37,49,86
BROWARD,3731,EVERGLADES HIGH SCHOOL,12,23,22,108,95,130,122,19,21,1,,,2,5,4,286,266,552
BROWARD,3851,COLLEGE ACADEMY AT BCC,12,29,29,28,8,27,20,9,11,,,,1,7,2,100,71,171
BROWARD,3861,CORAL GLADES HIGH SCHOOL,12,95,72,67,60,86,66,11,10,,,3,2,4,2,266,212,478
BROWARD,3971,WEST BROWARD HIGH SCHOOL,12,101,100,29,29,146,149,19,8,,,1,,9,7,305,293,598
BROWARD,5005,BEN GAMLA CHARTER HIGH SCHOOL,12,4,5,2,1,,1,,,,,,,,,6,7,13
BROWARD,5006,SOMERSET PREPARATORY ACADEMY CHARTER HIGH AT NORTH LAUDERDALE,12,1,1,15,7,3,3,,,,,,,1,,20,11,31
BROWARD,5007,SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS,12,1,2,23,17,6,6,1,,,,,,1,,32,25,57
BROWARD,5009,MAVERICKS HIGH OF NORTH BROWARD COUNTY,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,5009,MAVERICKS HIGH OF NORTH BROWARD COUNTY,12,2,3,9,17,3,2,,,,,,,,,14,22,36
BROWARD,5028,ACADEMIC SOLUTIONS HIGH SCHOOL,12,3,2,3,3,1,1,,,,,,,,,7,6,13
BROWARD,5032,FLAGLER HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,5032,FLAGLER HIGH,12,5,14,11,16,8,9,,1,,,,,,4,24,44,68
BROWARD,5060,SUNED HIGH SCHOOL,12,,,13,12,1,,1,,,,,,,,15,12,27
BROWARD,5091,CITY OF CORAL SPRINGS CHARTER,12,58,49,8,16,32,26,5,3,,,,,1,2,104,96,200
BROWARD,5121,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,12,50,53,47,53,93,83,13,7,,,,1,,1,203,198,401
BROWARD,5221,SOMERSET ACADEMY CHARTER HIGH,12,9,14,23,32,73,65,6,4,,,,,2,1,113,116,229
BROWARD,5322,PIVOT CHARTER SCHOOL,12,3,5,,2,3,,,,,,,,,,6,7,13
BROWARD,5323,MELROSE HIGH,12,3,5,5,5,4,3,,,,,1,1,,1,13,15,28
BROWARD,5331,DOLPHIN PARK HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,5331,DOLPHIN PARK HIGH,12,1,2,11,36,4,14,,2,,,,,1,1,17,55,72
BROWARD,5341,NORTH UNIVERSITY HIGH,12,7,3,15,31,7,13,3,3,,,,1,,,32,51,83
BROWARD,5351,LAUDERHILL HIGH,12,,2,20,40,,,,,,,,,1,1,21,43,64
BROWARD,5396,SOMERSET ARTS CONSERVATORY,12,6,3,7,1,9,7,1,1,,,,,,,23,12,35
BROWARD,5416,INTERNATIONAL SCHOOL OF BROWARD,12,3,6,15,4,3,2,1,,,,,1,,,22,13,35
BROWARD,5417,IGENERATION EMPOWERMENT ACADEMY OF BROWARD COUNTY,12,4,2,4,2,2,,2,,,,,,,,12,4,16
BROWARD,5481,MAVERICKS HIGH OF CENTRAL BROWARD COUNTY,12,2,,19,27,6,6,,,,,,,1,,28,33,61
BROWARD,5861,SUNED HIGH SCHOOL OF NORTH BROWARD,12,1,3,5,5,2,1,,1,,,,,,,8,10,18
BROWARD,6015,BROWARD GIRLS ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,6016,POMPANO SUBSTANCE ABUSE TREATMENT,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,6017,BROWARD YOUTH TREATMENT CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,6051,AMIKIDS OF GREATER FORT LAUDERDALE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,6091,"PACE CENTER FOR GIRLS, INC.",12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BROWARD,6501,OFF CAMPUS LEARNING,12,16,15,25,22,11,26,3,,,,,,,1,55,64,119
BROWARD,7004,BROWARD VIRTUAL FRANCHISE,12,29,13,3,1,6,9,1,1,,,1,,3,,43,24,67
CALHOUN,21,BLOUNTSTOWN HIGH SCHOOL,12,38,34,3,4,,4,,,,,,1,4,4,45,47,92
CALHOUN,101,ALTHA PUBLIC SCHOOL,12,18,21,,,1,,,,,,,2,,1,19,24,43
CALHOUN,7001,CALHOUN VIRTUAL INSTRUCTION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CALHOUN,7023,CALHOUN VIRTUAL  INSTRUCTION PROGRAM (DISTRICT PROVIDED),12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
